1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	106
5	R	106
4	J	108
5	E	108
4	R	109
4	W	114
0	R	114
4	J	596
4	R	596
4	W	596
0	R	596
4	J	678
4	R	678
4	W	678
0	R	678
4	J	957
4	R	957
4	W	957
0	R	957
4	J	994
4	R	994
4	W	994
0	R	994
4	J	1066
4	R	1066
4	W	1066
0	R	1066
4	J	1116
4	R	1116
4	W	1116
0	R	1116
4	J	1252
4	R	1252
4	W	1252
0	R	1252
4	J	1338
4	R	1338
4	W	1338
0	R	1338
4	J	1696
4	R	1696
4	W	1696
0	R	1696
4	J	1781
4	R	1781
4	W	1781
0	R	1781
4	J	1838
4	R	1838
4	W	1838
0	R	1838
4	J	1926
4	R	1926
4	W	1926
0	R	1926
4	J	2017
4	R	2017
4	W	2017
0	R	2017
4	J	2109
4	R	2109
4	W	2109
0	R	2109
4	J	2189
4	R	2189
4	W	2189
0	R	2189
4	J	2281
4	R	2281
4	W	2281
0	R	2281
4	J	2441
4	R	2441
4	W	2441
0	R	2441
4	J	2519
4	R	2519
4	W	2519
0	R	2519
4	J	2649
4	R	2649
4	W	2649
0	R	2649
4	J	2706
4	R	2706
4	W	2706
0	R	2706
4	J	2777
4	R	2777
4	W	2777
0	R	2777
4	J	2857
4	R	2857
4	W	2857
0	R	2857
3	J	3066
3	R	3066
3	W	3066
0	R	3066
4	J	3145
4	R	3145
4	W	3145
0	R	3145
4	J	3241
4	R	3241
4	W	3242
0	R	3242
4	J	3252
4	R	3252
4	W	3252
0	R	3252
4	J	3347
4	R	3347
4	W	3347
0	R	3347
4	J	3501
4	R	3502
6	N	3504
6	J	3504
4	W	3504
6	R	3504
7	N	3509
7	J	3509
6	W	3509
7	R	3509
7	E	3564
6	J	3564
6	R	3564
8	N	3566
8	J	3566
6	W	3566
8	R	3566
8	E	3673
6	J	3673
6	R	3673
9	N	3674
9	J	3674
6	W	3675
9	R	3675
9	E	3701
6	J	3701
6	R	3701
10	N	3703
10	J	3703
6	W	3703
10	R	3703
10	E	3784
6	J	3784
6	R	3784
6	E	3786
4	J	3786
4	R	3786
11	N	3787
11	J	3787
4	W	3787
11	R	3787
4	J	3789
11	E	3790
4	R	3790
4	W	3790
0	R	3790
4	J	4303
4	R	4303
4	W	4303
0	R	4303
4	J	4374
4	R	4374
4	W	4374
0	R	4374
4	J	4529
4	R	4529
4	W	4529
0	R	4529
4	J	4605
4	R	4605
4	W	4605
0	R	4605
4	J	4683
4	R	4683
4	W	4683
0	R	4683
4	J	4822
4	R	4822
4	W	4822
0	R	4822
4	J	4839
4	R	4839
4	W	4839
0	R	4840
4	J	4934
4	R	4934
4	W	4934
0	R	4934
4	J	5050
4	R	5050
4	W	5050
0	R	5050
4	J	5190
4	R	5190
4	W	5190
0	R	5190
4	J	5203
4	R	5203
4	W	5203
0	R	5203
4	J	5280
4	R	5280
4	W	5280
0	R	5280
4	J	5328
4	R	5328
4	W	5328
0	R	5328
4	J	5416
4	R	5416
4	W	5416
0	R	5416
4	J	5529
4	R	5529
12	N	5531
12	J	5531
4	W	5531
12	R	5531
13	N	5533
13	J	5533
14	N	5534
14	J	5534
15	N	5535
15	J	5535
16	N	5535
16	J	5535
17	N	5536
17	J	5536
12	W	5536
17	R	5536
17	W	5536
16	R	5537
16	W	5537
15	R	5537
15	W	5537
14	R	5537
14	W	5537
13	R	5537
13	W	5537
0	R	5537
17	J	5637
17	R	5637
17	W	5637
0	R	5637
16	J	5638
15	J	5638
14	J	5638
13	J	5638
16	R	5638
16	W	5638
15	R	5638
