1	N	48
1	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	106
5	R	106
4	J	108
5	E	109
4	R	109
4	W	114
0	R	114
4	J	1056
4	R	1056
4	W	1056
0	R	1056
4	J	1143
4	R	1143
4	W	1143
0	R	1144
4	J	1203
4	R	1203
4	W	1203
0	R	1203
4	J	1282
4	R	1282
4	W	1282
0	R	1282
4	J	1454
4	R	1454
4	W	1454
0	R	1454
4	J	1546
4	R	1546
4	W	1546
0	R	1546
4	J	1589
4	R	1589
4	W	1590
0	R	1590
4	J	1679
4	R	1679
4	W	1679
0	R	1679
4	J	1846
4	R	1846
6	N	1848
6	J	1848
4	W	1849
6	R	1849
